,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,1.8073157787322998,0.020521862022764993,0.015403509140014648,0.0004898819446615681,1,10,1000,"{'max_depth': 1, 'min_child_weight': 10, 'n_estimators': 1000}",0.7996875740763233,0.8145100783681598,0.8068155938635322,0.8095236123938717,0.8014278047818797,0.8063929326967532,0.005394111254290513,25
12,0.4399935245513916,0.015129552950016643,0.010002231597900391,0.0006326358821458496,3,1,100,"{'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100}",0.8368806161732973,0.8493343887064295,0.8428005033707224,0.8444593985765304,0.8390404044664498,0.8425030622586858,0.004340153062013436,13
13,0.8356349468231201,0.023714106068787086,0.012202835083007813,0.0004001379119606201,3,1,200,"{'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200}",0.8401433195672716,0.8540277768169913,0.8495299959503466,0.8482941779128504,0.8436882268432757,0.8471366994181471,0.004803205123911972,3
14,2.092119026184082,0.019473440670563686,0.020404577255249023,0.0008000135475042733,3,1,500,"{'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500}",0.8382059352850815,0.8526956457377517,0.8468880559189484,0.8447230403849845,0.8388157807661272,0.8442656916185787,0.005377216082516623,9
15,4.139138698577881,0.03397435298189683,0.03220734596252441,0.0003998997208186272,3,1,1000,"{'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000}",0.8324538817592868,0.8476759614450717,0.8404018526910728,0.8376255767890604,0.8334511717109087,0.83832168887908,0.005485748201403508,18
16,0.4358845233917236,0.014516633811423912,0.009402084350585937,0.0004899403160383116,3,5,100,"{'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100}",0.8385960388616492,0.851579765253613,0.842803663790914,0.8431002584127416,0.8385591933169887,0.8429277839271812,0.004748695259996026,12
17,0.850491714477539,0.02544076207583955,0.012402963638305665,0.0004900182528205475,3,5,200,"{'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 200}",0.8425963460267395,0.8551810505043542,0.8482773825507568,0.8474224195140918,0.8436344740780023,0.8474223345347889,0.004439973705623325,2
18,2.0468600749969483,0.007966425605115185,0.019604587554931642,0.0007998466918106587,3,5,500,"{'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 500}",0.8435821525492052,0.8559612928260704,0.8463929770430823,0.845076295433806,0.8413140541381294,0.8464653543980587,0.00503897444298842,7
19,4.1561342716217045,0.05364567337365796,0.03360743522644043,0.0018549954981262036,3,5,1000,"{'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000}",0.8387263159372332,0.8520894279155531,0.8409654542785755,0.8389502510835627,0.8364862921347752,0.8414435482699398,0.005508858286298366,16
20,0.43549795150756837,0.018547225256637018,0.009802007675170898,0.0004001379119606201,3,10,100,"{'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100}",0.8393921228396306,0.8505994018349697,0.8427976995714374,0.84466655252378,0.8410953076250954,0.8437102168789826,0.003865018023208458,10
